"text","label"
"YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTHJER FUCKER COCKSUCKER!",1
"F*CK YOU 

You moth*rfucker, if you want me to be rude so I will. I am no sockpuppet or vandal, you refuse to answer me without reason. You removed sourced data, assh*le, and I'm going to return it back. You're the vandal, not me.",1
", including those of people who do live there",0
"Hm... 

Listen, Sango, I know you're trying, but I'm not going to listen to some 14-year-old punk kid, okay?  Come back in a few years.",1
"Go fuck yourself you tedious little cunt.",1
"I apparently didn't do a good job with the International Home and Housewares Show page because you deleted it for copyright infrigement. How do I cite it so it isn't? I do have permission to put the information up....Please help!",0
":Wow I just laughed my ass off!!!",1
"{{|unblock|Lick my hairy nuts you negroes and jews.}}",1
"skinny ass than? 

does she look skinny to you?",1
"muephys law states that kevin mahony is a penis",1
"Even if we believe the 1910 census, that besides other flaws overemphasises the number of Hungarians over others in Transylvania, the Romanians form an absolute majority (>50%) and together with the Germans, that supported the unification with Romania they form almost (>64%) a two thirds majority. The W.Carpathians constituted in part the border of the old Principality of Transylvania. The South-West part of the border lies on the W. Carpathians.",0
"""-You're dumb and you fail to impress me and your little """"abilities"""" as an admistrator won't deter me!-( )
""",1
"If I may clarify, my question was not regarding the reliability of the OGTT for reactive hypoglycemia. The difficulty with this section is the analogy between OGTT and the Rorschach. Your analogy works for the person well-read in psychology who shares your opinion of the Rorschach, but falters for the general reader. The Rorschach inkblot test article says that the test is the second most used test for forensic assessment; if this statement is correct, then I wonder about the utility of your analogy, at least for those who do not already share your point of view...  Freder1ck",0
"If you want any further confirmation, please email me and I will explain (privately via email).  I have had problems with a person accusing gfwesq and me of being sockpuppets because we share similar interests (we are both lawyers) and therefore both edit law articles.",0
"""
yay this is all so exciting!! I'll try to add some stuff. JLover 03:52, 3 October""",0
"WHEN YOU LIKE TO KILL YOU CIVIL WAR!",1
"""

 Removed text from article 
You're right the history section needs serious work.  I have removed it from the article because, I believe, it is a lot of conjecture.  It certainly doesn't jive with what I've read on the subject, and goes contrary to information found in referenced articles, for example country dance originating in frontier towns.  I would suggest that the country dance section of the folk dance article is read carefully.  

I would also suggest that careful citing of references in this history section will make it a lot better.  What happened to the role of the """"dance master"""", and of """"recorded music""""?  These are both important aspects of the caller's history.

It's a little too hit-and-miss for my taste.   

History
The role of the dance caller or cuer came out of necessity, given the origins of folk dance in America, but also in various cultures throughout the world.

In America, you can find many examples throughout history of frontier towns (where country dance originated) having people with traditions and dance styles from all over the world.  It was customary for people, when they finished work for the day, or when the week was over, to relax and go to a community dance event.  Everyone from town came.

Having people, however, from all sorts of different cultures caused problems.  People from one culture would know a certain type of music, or certain steps; and while there was some overlap in a few cases, the different steps were very confusing to those who didn't know the dances.  Also confusing was the fact that even in the case of overlap between cultures, the steps had differing names.

Thus, the country dance caller was created out of necessity.  Rather than only the dances they knew from each caller, someone was called upon (or more often just came about in an effort to help everyone have a good time) who learned the dances and steps of everyone, and each town created their own list of dance steps.

As towns expanded, and people travelled, these new callers (named such because they called out what you were to do next in each dance) were able to learn from each other and each other's styles to the point where, modernly, there is a full Callerlab devoted to maintaining a list of proper square dance calls, integrating new calls and styles of dance, and generally supporting and promoting new ideas in square dance calling, as well as up-and-coming callers.""",0
"""
Comment the consistently used name is just MARC as is demonstrated through a wide range of results for search site:mta.maryland.gov """"marc"""".  The texts from the first page of results were: 
MARC Train Service;
MARC train posts delay information and On-Time-Performance...;
The Penn Line of the MARC Train Service;
MARC weekly and monthly tickets ...;
MARC now offers weekend service ...;
Penn Line trains will have the MARC Bike Car in the train;
MTA strives to make it as convenient as possible for MARC riders to stay informed and up-to-date;
The MARC Riders Advisory Council  ...;
MARC Train and Commuter Bus Tickets ...;
The new parking garage at the Savage MARC station
site:mta.maryland.gov """"marc"""" gets """"About 7,930 results""""
site:mta.maryland.gov """"marc train"""" gets """"About 3,320 results"""" many of these results don't come from text but from a repeated link reading """"MARC Train""""
-site:mta.maryland.gov -Wikipedia """"marc"""" AND (penn line"""" OR """"camden line"""" OR """"Baltimore Penn Station"""") gives many results other than """"MARC Train""""
Suggest  
Kaye """,0
"someone needs to check the source on the nobel peace thing -smbgood",0
"Spring scale  is stupid. lol",1
"http://www.imdb.com/name/nm2551199/filmoseries#tt1327666 71.223.125.139",0
"user talk: Grizzlybear82
 Please refrain from adding crap to my talk page.",1
">>>>> this is false. I'd love use stronger language, think what it could be, but if I do, 
 you will run to some admin and gt me blocked in revenge. I can't speak freely. 

 As for your allegation, go submit such a stupid green cheese article and see where it gets you. 
 Put up, or shut up.  (,,,,,,,, comments deleted for political safety) 

 beckjord",1
"REDIRECT Talk:5th Mountain Artillery Regiment (Italy)",0
"I have a final warning?
Can you please answer one question at a time to avoid a vague politically correct postmodern answer, thankyou. I have already spoken to admin friends on how to report your behaviour just to let you know they will be reading your response, thankyou.

1/ Final warning? Where are my previous warnings for you to issue me with a final one?
2/I did not launch a personal attack and I already have full support on this. I assume your first language is English, therefore I would like for you to tell us how me agreeing with Timothy Titus that this Bot owner may indeed me lying about his student status discovered through his poor use of English, hense the poor management of the bot is a personal insult?

Please take your time in responding to us and pick your words carefully so we can fully understand what you are trying to do here.  Thankyou for your time.",0
"Give me one reason to listen to a moron like you.",1
"I like voluptuous hottie with large breasts",1
"But Poliakov's views haven't. He has said a lot of postiive things about Muhammad (e.g. that Muhammad was very resepectful towrds the Jews). Infact, I have yet to verify the source in which Poliakov accuses Islam of anti-semitism. In anycase, Bernard Lewis is an exceptional scholar because he is a scholar both on Islam(ic history) and antisemtism. Mark Cohen is also a scholar on Jews under Islam. Most of the rest of the scholars quoted are either scholars on Islam or antisemitism.",0
"ROTFLMAO!!!

This is a fucking riot!!!!",1
"First off, I am not inserting my personal point of view just the facts. I don't know where you got your facts from but they are incorrect. As a life long resident of Miller, having both parents from Miller I am well aware of the boundaries of Miller. and your account is false...
Also, I am not talking of this ORIGINAL TOWN of Miller or is supposed boundaries but The Miller Beach Area today is made up of many neighborhoods to simply call Miller Beach a Neighborhood of Gary makes the very notion of Miller smaller than it really is... I don't have agenda here. I just don't want my home town slighted by mis-information. It is the word Neighborhood that is of issue. Miller Beach has several Neighborhoods... It was settled almost 100 years before Gary was established. It is town that has been annexed. It is not a neighborhood of Gary. It existed before Gary. These are historical facts. Is Miller under the municipal control of the City of Gary? YES...Is it an area within the political boundaries of Gary, Yes... is it part of Gary? No",0
"Bow to Islam 

Why Do you call down the wraith of islam on this site? Remove the images or we teach you respect. We know that if we keep up the pressure you will buckle because you are cowards and have no faith - while we are guided by the hand.  —Preceding unsigned comment added by 87.113.66.166",1
"Fingerprinting at Disney 

I've edited this entry to reflect your concerns. There has of course been significant media coverage over the fingerprinting issue in the United States, and I've refernced an IHT article to substantiate this.",0
"007 litter act sect 11  is shit, try qld act with amendments.get your shit out of my letter box",1
"""

Talk Pages

Are very useful.. Use this one https://en.wikipedia.org/wiki/Talk:2015_Latakia_offensive for your current problems.   lets talk """,0
"So...

Are you this arrogant and gutless in real life? I am curious.",1
"Who's ur Uncle, Dick?",1
""" 

 == Alleged Original Research == 

 I have added back a load of content that was removed supposedly under the reasoning that it was """"original research"""". First, there was reliably sourced content that was removed. The """"Changes in direction"""" section was already reliably sourced as were the quotes. How that falls under original research I'll never know. The show underwent some major changes and to omit that one of the main characters was killed off makes no sense whatsoever. The fact that two of the main stars, John Amos and Esther Rolle, publicly complained about the series and ultimately left because of it also doesn't fall under OR. This was covered by the media as evidenced by the sources that were present. If someone had a problem with Ebony and The LA Times being reliable sources, they should have dropped a note here instead of removing a shit ton of content that someone took the time to write (not me) and another person (me) took the time to source. Original research isn't including details about the work, it's drawing your own conclusions based on your own research. In television show articles, we can use the work itself as a source for the actual details of the show. Once the writing start veering off into overly detailed garbage, that's when the OR police can come out. Works of fiction should have some details about production, ratings, show changes, etc. If not, all we have is an article that say a show aired and some people were in it. It took me all of 20 minutes to find sources for the majority of the removed content - none of it was contentious nor was it OR which means it should not have been removed. Ironically, actual original research about the stupid opening titles was left in.  """,1
"Fwolinseal.gif
Thanks for pointing out to me that that image is going to be deleted.  I thought it had already been deleted, actually.  It's redundant to the one used in the Olin College article, and the image actually used is properly taged (it's fair use as a logo).   | (talk) 17:52, Mar 14, 2005 (UTC)",0
"The second member of his surname is not spelled right... It starts with an F 

You know, Carter-F*ck",1
"BASTARD picking on women- leave catherine alone",1
"""

 Wales Green Party 

There is a discussion at Talk:Green Party of England and Wales#Should Wales Green Party become a standalone article? to establish if Wales Green Party (which currently redirects to a section inside Green Party of England and Wales) is notable enough to be restored as a standalone article. As you either took part in the AfD, or are a significant contributor to either Wales Green Party or Green Party of England and Wales, you are being contacted to see if you have input to the discussion.  ''' ✔Tea time''' """,0
"::I must say I HATE that map - it is irredeemably ugly!",1
"That being said, the picture is very good and if you stare at it, when you look away, it triggers some similar effect. Would it be out of the line to mention this in the image description?",0
"Should we add Jim Varela?",0
"Hi . I currently have an article nominated at FAC (see here), which unfortunately isn't getting much attention. Anyway I can only nominate one article at a time myself, so unless you or  want to co-nominate it with me (up to you, no pressure), i'm going to have to wait until my currently FAC is closed or passed before I can nominate to by myself.",0
"False accused deletions 
Hey, Some idiot called   reverted edits by a false claim saying it's constructive and vandalism.",1
"""==Dominican Americans==
Please stop vandalizing the list of Dominican Americans with names of individuals that have no Dominican ancestry and/or who have never lived in the USA. John Lithgow is NOT Dominican. His father is a US Citizen born in Dominican Republic. Due to laws that prohibited dual citizenship in the past his father did not have Dominican citizenship, nor does have ancestry. His father can be added to the list with the mention that he was """"born in the DR"""" however John does not qualify for inclusion.  Furthermore, Johnny Ventura and Juan Luis Guerra have never lived in the USA. Therefore they do not qualify as Dominican-Americans because they were not born in the USA nor emigrated. Please refrain from adding these names as it can be labeled as vandalism and will be reported to an administrator. Thank you for your understanding. """,0
"Discard All said previously... We love you Carlos... I LOVE YOU! I WANT TO RAPE YOU O Just Kidding ;)",1
"evribdy smells 
 u smell asshole",1
"You Suck
Suck it!!!!!",1
"""
Hmmm... innuedo?!? How's about this one...  PS: How on this earth could they have made such a big mistake of having being able to switch off their IFF whilst in the process to identify the correct nationality of the air forces, even though both Royal Saudi Air Force and the Republic of Singapore Air Force shares the same acronym """"RSAF"""", fact is F-16s were never operated by the Saudis. Geesh! Cheers and thanks again~!   """,0
"""
Excellent. So you understand it does not mean """"only now and then"""". The word for that is """"occasionally"""".—  """,0
""", 20 January 2013 (UTC)
The argument at WP:NATURAL seems to rely on showing that the other name is common, so you need to prove that the other name is common. Numbers might help a bit. Also, above we are told that """"Gohatto"""" rather than 御法度 is the name of the film in Japan, but this turned out to be false. Incidentally, Ryuhei Matsuda, it seems to me, looks more like his mother than his father. What do you think? Also, how authentic is the portrayal of the Shinsengumi in this film? Do you have any historical insights?   15:12""",0
"Wow. 

Omg okay so i just made this really long page and you deleted it. thanks, BIOTCHHHHH. geez. stop deleting my things or else i'll sue you, faaaagggggggg.  

stop deleting my things or i'll find you. and i'll kill you. kill. kill. kill .",1
"his article and to my talk page",0
"how do you like being a racist pig that votes republican?  Have fun when your daughters grow up and they are retarded because funding for education is cut, they are fed a completely fast food diet, and when they are forced to worship the bible and  

not learn
please stop reversing my edits on elizabeth murdoch.  SHe is an evil b.i.t.i.ch that needs to seriously die because she is a threat to humanity.
Please stop attacking  me because i am a liberal and want the whole world to prosper, not just rich white people.",1
"No apologies 

I make no apologies for what I said on the humanities reference desk. At times, I may have gone too far elsewhere in wikipedia but not in this instance. When people say stupid things on the reference desk, I have no qualms about pointing this out and am not likely to change any time in the future, especially when it is unlikely the person who asked the question is being sincere. Note that assume good faith doesn't really apply in the reference desk, else we wouldn't be able to suggest that users are asking homework questions (which we do all the time) or otherwise just wasting our time (which we do as well). I rarely frequent the humanities reference desk, mostly science only, so perhaps you don't get as many cranks at humanities but really I don't care. Stupid questions deserve pointed replies. Anyway I've said my piece and don't want to debate this anymore. As such, I'm likely to ignore any further follow ups by you. If you feel my comments so bad that you wish to seek outside assitance, that's up to you.",0
"Thank you for your RACIST experimenting with the page Katherine Heigl on Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. Now go FUCK YOURSELF YOU RACIST CANUCK ASSHOLE1  U HAVE NOTHING BETTER TO DO THAN CENSOR THE TRUTH U GODDAMN KKKKANUCK PIECE O TRASH///  DICKHEAD MORON MOTHERFUCKER111LOL  YOU CANUCKS R REAL RETARDS1  FUK OFF DICKWEED!  EDIT ANOTHER 1 OF MY EIDTS AND YOU'LL BE EXPEL FROM WIKI BY JIMBO YOU SOB DICKHEAD11 
SO WATCH IT MOFO PIECE OF GARBAGE RACIST MOFO ASSHOLE.  IM TRYINBG TO BE NICE HERE SO TAKE WHAT i SAY AS A COMPLIMENT!Yamla",1
"ADMINS ARE FULL OF SHIT, THEY BANNED ME FOR OVER A HALF A YEAR BECAUSE I MADE A MISTAKE WHEN EDITING AN ARTICLE. FUCK THEM AND FUCK YOU IF YOU'RE ONE OF THEM. I HATE YOU!!!",1
"Interesting section, but as is usual for the English language Wiki it's americo-centric. Some of my favourite reviews are not from american reviewers, but as far as this article is concerned they don't even exist. Disappointing.",0
"No, I know where he was buried. Close to the Kremlin. I shitted all over his grave.

Anyone know where his ancestors are buried? I would like to dig up their graves too?",1
"""
Charles and his fans are playing games. Blair is reliable. The fact that he reports on a story that Charles's blanking defenders are claiming """"originates"""" from a """"non-reliable"""" source is bogus argumentation. Of course, this is what happens when you play """"Six Degrees of Kevin Bacon"""" with what you are going for - eventually you can """"trace"""" anything back to anything. 

The fact that playing """"six degrees of kevin bacon"""" with neo-nazi groups these days is one of Charles's favorite tactics to tar anyone he doesn't like shouldn't make his accusations valid, nor should it be used to try to claim that Tim Blair, an actual journalist, is """"invalid"""" as a reference reporting on issues like this.""",0
"""

 Ethos 

I've tidied up the lede a bit but for now I've left in promotional content elsewhere like """"The Veropedia editorial community ... is highly geared to quality article writing, seeing involvement in Veropedia as a means to return to the roots of knowledge building by focussing upon articles rather than editorial difficulties."""" Every company in the world has a committed work force highly geared to quality; well, it does if we're going to copy its own promotional material as factual encyclopaedia content.  If people feel we need to have a description of Veropedia's self-image and objectives then it needs to be neutrally included in a section devoted to that purpose (e.g. a section on the company's ethos), not included elsewhere as statements of fact. 87.254.79.38  """,0
"Error 

Kem, on my article (Operation Dawn 6), you said that the Iraqis only 'tried' to invade Iran again in 1988.

They did actually succeed in capturing Dehloran, in Iran, and the Iraqis only withdraw from the town on Saddam's orders.  There was no Iranian counter-attack to take it; and the Iraqis would continue to hold a small strip of Iranian land in the central sector of the front from July 1988, to the ceasefire.",0
"She's quite possibly the ugliest latina in the history of the universe",1
"Horse's ass 

Seriously, dude, what's that horse's ass doing on Wikipedia?  Should I delete it?  It really isn't serving any purpose, is it?",1
"YOU ARE A PRETENTIOUS C-UNT",1
"I am a penis",1
"I'M NOT GONNA SAY IT AGAIN! STOP FUCKIN' WIT ME GODDAMN IT!!!!!!",1
"Comment - for what it's worth, I take no position on this proposal.  I only made it because I was asked to do it, and it seemed reasonably possible that there would be consensus support for it.",0
"I've abused NOTHING. Your threats are extremely disrespectful to the rules of Wikipedia. All I have ever done is tried to improve the quality of Wikipedia articles and maintain the standards of quality. I should NOT be treated like a vandal who only registered to muck up articles. My account should not be blocked. I should be an administrator. (  )",0
"about ronald 

explain to me how ronald being a happy clown is not legit.  isn't he not?  And might i suggest you change your name because when ever i say it i have to form a big ball of phlem or mucus to pronouce it correctly.",0
"I didn't know that!",0
"""

Please do not create articles on your talk page
It creates a massive problem with your talk page history and the article's history and creates incorrect links because of the submission templates.  You have a sub-page already made  """,0
"masturbation|jerk off]] your penis",1
"He is from BOMBAY!you idiot.u guys hav no idea where the hell sabu's from!!!!STFU...he was NOT from michigan u stupid.he is from india,he doesn't evn look like an american,if u don't let me say he's from bombay,u'll get blockd and shut up b4 it's too late",1
"i like sugar and i like tea, but i dont like niggers no sirry 
 theres 2 lone things that make me puke, its a horde eatin slop n a big black spook 
 you kno it cuz i show it, like a barnyard rooster ill crow it 
 the naacp would sure like ta git ahold of poor old nigger hatin me, nigger hatin me 
 you kno it cuz i show it, stick ur black head up n ill blow it 
 ~~burrbssss~~",1
""" 
 :""""we want it to be okay for stupid questions"""" - OK, point taken with that comment. ''''''  """,1
"I'm learning the encyclopedic process, please do not consider cheesebot 'nonsense.' It really isn't. 

I'm sure that 15 years ago people would have considered an encyclopedia where virtually Anyone could change and update the sources to be complete, and utter NONSENSE. But, look how great it turned out. Please refrain from perpetuating more percieved 'nonsense'.

~ZZ~77~ZZ~",0
"""

 Let's have a beer to celebrate! 

  Thanks for reviewing United States v. Kagama, a newly promoted featured article.  Boomer!  """,0
"YOU SSSNOBBB 
 Why are you such a f.....g snob. I've seen several of your remarks and they all seem to be high and mighty, , 'facebook for ugly people', 'social network for nerds' , what wikipedia is becoming. Why not just add your brilliant content to articles, dredged up from your beautiful superlative mind, housed in your beautiful non-nerd body, and shove your nasty thoughts into the garbage can. The fact you spend so much time on talkpages is revealing. Why don't you get a life yourself instead of being mean-minded and horrible to people. Or leave wikipedia since you despise so many of the cretin contributors.",1
"Homos on Wikipedia 

Hi Chris! Thanks for becoming part of the Wikipedia community! However, there re lots of homos who edit Wikipedia. Here is a list of all the homos on Wikipedia. I hope you can set them on the straight path, because God and Jesus hate sodomy!",1
"your momma is nott hott !",1
"U MAD?

I'll fuck you blind bitch. I'll fuck you blind till you just can't see no more. 

Sit on my dick, fart on my ballls. Anyway going to change ip so I can mess with junegloom.",1
"Infobox  

Just of a note people, I might be changing the infobox to make it resemble to one on the Arabs article, and try to include a couple ancient and medieval Arab Christians, and Arab Christians from each nation. Isaac of Nineveh can fit both an ancient Arab Christian and representative of Bahrain.   PacificWarrior101",0
"Fuck u lanchiau kanina bo !",1
"ZRH vandal

Hello Sjö, there is an anononymous user )
is continually vandalizing Zurich Airport. I ask you if you can do something paese, because after my and other user revision of his edits, he continue vandalizing the page.",0
"""
So how can Stephen Hawking """"prove"""" the impossibility of a time machine? I really don't get it.  """,0
"you're a faggot for reporting handlfield",1
"Hello and welcome to Wikipedia!!  Thank you for your contributions.  I would like to request that you join the Communist Party of Wikipedia so that Wikipedia will live up to its original ideals instead of being manipulated for the agenda of the POV pushing clique.  Enjoy your time here on Wikipedia!",0
"The source linked above contains a lot of video of large crowds, pictures of police violence and a lot of other things. The problem is that I have no idea how to upload the stuff.",0
"This is my user page I can edit it how I feel is necessary. No one views it so who the fuck cares, it doesn't contain any vital information so get a fucking life Dlohcierekim you fucking loser. Its been awhile since I have helped edit on here and can see that since than there have been some tools allowed to use more advanced tools which is never good. Fuck you.",1
"My actions are not disruptive. Why you're saying this is way over reason to explain since I've provided plenty of reliable sources, I am not vandalizing, and I tried to reach a resolution with the author. Therefore, YOU DO NOT know what you're talking about. You're in danger of being re-evaluated by wiki if you continue to defend a sperson who clearly is too stubborn to work with others on wiki and who deletes VERY reliable sources. Such action speaks little about you as a wiki volunteer. I urge that you to cease defending this person for whatever personal reasons you may have and be a true wiki volunteer. Otherwise, I'll be forced to request that wiki block you, and I would not want that and neither do you.",0
"Adoption 

Can you adopt me please?96.235.179.193",0
